class1, 1.0, 1.0, 1.0
class2, 0.92, 0.968421052631579, 0.9435897435897437
class3, 0.8615384615384616, 0.5894736842105263, 0.7
class4, 0.6231884057971014, 0.45263157894736844, 0.524390243902439
class5, 0.9361702127659575, 0.9263157894736842, 0.9312169312169313
class6, 0.5743243243243243, 0.8947368421052632, 0.6995884773662552
class7, 0.9787234042553191, 0.968421052631579, 0.9735449735449735
class8, 0.967741935483871, 0.9473684210526315, 0.9574468085106383
class9, 0.9583333333333334, 0.968421052631579, 0.9633507853403142
class10, 0.96875, 0.9789473684210527, 0.9738219895287958
class11, 0.9680851063829787, 0.9578947368421052, 0.962962962962963
class12, 0.5094339622641509, 0.28421052631578947, 0.36486486486486486
class13, 0.9285714285714286, 0.9578947368421052, 0.9430051813471502
class14, 0.9895833333333334, 1.0, 0.9947643979057591
class15, 0.5548387096774193, 0.9052631578947369, 0.688
class16, 0.5194805194805194, 0.8421052631578947, 0.642570281124498
class17, 0.6213592233009708, 0.6736842105263158, 0.6464646464646464
class18, 1.0, 1.0, 1.0
class19, 0.935064935064935, 0.7578947368421053, 0.8372093023255814
class20, 0.72, 0.18947368421052632, 0.3
