epoch,accuracy,loss,val_accuracy,val_loss
0,0.7961623668670654,0.5688764452934265,0.8246597647666931,0.513584554195404
1,0.7931482195854187,0.5734938979148865,0.8307607769966125,0.4715746343135834
2,0.7934065461158752,0.5790352821350098,0.814326822757721,0.5199100971221924
3,0.7919862866401672,0.579476535320282,0.8302242755889893,0.47578316926956177
4,0.7939204573631287,0.5686326622962952,0.8194721341133118,0.49707725644111633
5,0.7903108596801758,0.5863670110702515,0.8114628791809082,0.5216121077537537
6,0.7518972158432007,0.6903324127197266,0.8088847398757935,0.539719820022583
7,0.7903791069984436,0.5826774835586548,0.8181792497634888,0.5042048096656799
8,0.7964235544204712,0.5597224831581116,0.8127352595329285,0.5169949531555176
9,0.7959811091423035,0.5632743239402771,0.8258532881736755,0.4847447872161865
10,0.7913766503334045,0.5909754633903503,0.8207612037658691,0.5084558725357056
11,0.7824204564094543,0.6304344534873962,0.7977005839347839,0.5980111360549927
12,0.79137122631073,0.5838162899017334,0.831913948059082,0.47401127219200134
13,0.7965011596679688,0.5698949098587036,0.8178145289421082,0.5187865495681763
14,0.7969618439674377,0.5645037889480591,0.8236925005912781,0.4801592230796814
15,0.7755412459373474,0.6354577541351318,0.8273327350616455,0.4907033443450928
16,0.7657516002655029,0.6555553674697876,0.808107852935791,0.5513656735420227
17,0.7914596796035767,0.5856950879096985,0.8196291923522949,0.5033868551254272
18,0.7900820374488831,0.5881540179252625,0.8178805708885193,0.5067963600158691
19,0.7933576703071594,0.5755584239959717,0.8215618133544922,0.4886823892593384
20,0.7948262095451355,0.5758479833602905,0.8140851855278015,0.5084402561187744
21,0.7888460159301758,0.5946808457374573,0.8171427845954895,0.515536367893219
22,0.7931228876113892,0.5774252414703369,0.8213739991188049,0.496488094329834
23,0.7853934168815613,0.6037876605987549,0.8308466672897339,0.4757859706878662
24,0.7967025637626648,0.5627779364585876,0.8208714723587036,0.48860254883766174
25,0.7947675585746765,0.5650706887245178,0.8244912028312683,0.497219979763031
26,0.7855400443077087,0.6063665747642517,0.8173702955245972,0.5126351118087769
27,0.7908523082733154,0.578583300113678,0.8168716430664062,0.5073100924491882
28,0.7965785264968872,0.5698650479316711,0.8266943097114563,0.4760362505912781
29,0.7957649230957031,0.5662683844566345,0.8330959677696228,0.4737304449081421
30,0.7915074229240417,0.5831943154335022,0.8160895705223083,0.5127870440483093
31,0.7923865914344788,0.5767521262168884,0.8273013234138489,0.4795147776603699
32,0.7971985340118408,0.5668219923973083,0.8251699805259705,0.4836406111717224
33,0.7910733222961426,0.580256462097168,0.808078408241272,0.5377583503723145
34,0.7966078519821167,0.5670568943023682,0.817623496055603,0.5090102553367615
35,0.7958844900131226,0.5752651691436768,0.8191260099411011,0.4963075518608093
36,0.7922790050506592,0.5880489945411682,0.812598705291748,0.5250664949417114
37,0.7905594110488892,0.5878093242645264,0.8221464157104492,0.4911358058452606
38,0.7935227155685425,0.5836506485939026,0.8277333378791809,0.4788234531879425
39,0.792363166809082,0.5803212523460388,0.8250764012336731,0.48704230785369873
